               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085901,            0.074213,                   0,             0.29819,             0.40762,              0.3023,             0.11501,            0.065644,             0.05447,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.066921,            0.047702,                   0,             0.37999,             0.60277,             0.42427,             0.17142,             0.05817,            0.032231,                   0,            0.040411,           0.0065483,           0.0065483
                   2,            0.062333,            0.039549,                   0,             0.28919,             0.78079,             0.27514,             0.11262,            0.057718,            0.033295,                   0,            0.010279,           0.0097501,           0.0097501
                   3,            0.056928,            0.034534,                   0,             0.74501,             0.75289,             0.82303,             0.33403,            0.042357,            0.027553,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.049318,            0.031745,                   0,             0.79073,             0.88136,             0.83296,             0.32699,            0.046905,            0.026314,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045332,            0.027844,                   0,             0.97447,             0.98268,             0.98762,             0.46977,            0.042064,            0.023932,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042075,            0.025712,                   0,             0.95079,             0.95612,             0.95766,             0.50315,            0.037888,            0.023785,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.040656,            0.026385,                   0,             0.97348,             0.98383,              0.9903,             0.59532,            0.031062,            0.020926,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.038055,            0.025518,                   0,             0.99415,             0.98056,             0.99397,             0.56497,            0.032634,            0.021066,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.036565,            0.024214,                   0,             0.96069,             0.96882,             0.99075,              0.5948,            0.031739,             0.02193,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.035323,            0.023593,                   0,              0.9919,             0.98992,             0.99272,             0.61174,            0.030823,             0.01975,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.034078,            0.022525,                   0,              0.9919,             0.99034,             0.98991,             0.61047,            0.026486,            0.018308,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.033481,            0.022527,                   0,             0.98937,             0.98383,             0.99455,             0.63659,            0.027398,            0.019023,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.031795,            0.021199,                   0,             0.99808,             0.99076,             0.99499,             0.64579,            0.026617,            0.018147,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.031238,            0.021788,                   0,             0.98675,             0.98961,             0.99252,             0.59516,            0.030363,            0.019897,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030611,            0.021769,                   0,             0.92828,             0.97344,             0.97821,             0.59939,            0.027251,            0.022357,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.029792,            0.021701,                   0,             0.99625,             0.99192,             0.99497,             0.68909,            0.025087,            0.018058,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.029004,            0.020917,                   0,             0.99395,             0.98614,             0.99378,             0.68303,            0.023366,            0.017637,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.028818,            0.019576,                   0,             0.99422,             0.99348,             0.99478,             0.69697,             0.02284,            0.017059,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.02857,            0.020246,                   0,             0.98963,             0.99215,             0.99468,             0.71821,            0.022956,            0.017501,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.026868,            0.019166,                   0,             0.99077,              0.9912,             0.99396,             0.70105,             0.02265,            0.016456,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.026478,            0.019623,                   0,             0.99553,             0.99307,             0.99438,               0.723,            0.020931,            0.016338,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.026517,            0.018685,                   0,             0.99538,             0.99483,             0.99499,             0.77318,            0.018143,            0.015397,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.025763,            0.019075,                   0,             0.98627,             0.99551,             0.99364,             0.73568,            0.022182,            0.017091,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.025524,            0.019561,                   0,             0.99854,             0.99654,               0.995,             0.75103,            0.019219,             0.01492,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.025208,             0.01838,                   0,             0.99424,             0.99731,             0.99498,             0.77352,            0.017428,             0.01497,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.024606,            0.018712,                   0,             0.99769,             0.99618,             0.99498,              0.7722,            0.017859,            0.015435,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.024149,            0.018859,                   0,             0.98649,             0.98961,             0.99352,             0.76289,            0.019626,            0.017098,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.023582,            0.018312,                   0,             0.99649,             0.99769,               0.995,             0.77779,            0.018182,            0.014711,                   0,            0.007327,            0.007327,            0.007327
