               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096036,            0.074045,                   0,             0.15836,             0.31178,             0.14341,            0.036777,            0.071758,            0.064007,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.070403,            0.052924,                   0,             0.49706,             0.60393,             0.50052,             0.17414,            0.057772,            0.040247,                   0,            0.040411,           0.0065483,           0.0065483
                   2,            0.068243,            0.042062,                   0,             0.66258,             0.72561,             0.69793,              0.2332,            0.052954,            0.053362,                   0,            0.010279,           0.0097501,           0.0097501
                   3,            0.058934,            0.039784,                   0,             0.51067,             0.72908,             0.59024,             0.24543,            0.049217,            0.030769,                   0,            0.009703,            0.009703,            0.009703
                   4,             0.05248,            0.036098,                   0,             0.72147,             0.76905,             0.78787,             0.32637,            0.051074,            0.029308,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.048359,            0.033051,                   0,             0.87832,             0.84296,             0.89625,             0.39856,            0.045153,            0.026935,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.045474,            0.029813,                   0,             0.91823,             0.91801,             0.94148,             0.47483,            0.039067,            0.029818,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043724,            0.029999,                   0,             0.95887,             0.94219,             0.95823,             0.47228,            0.035342,            0.024844,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041155,            0.029482,                   0,             0.97978,             0.95104,             0.98201,             0.53232,            0.033569,            0.024129,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040019,            0.027127,                   0,             0.94474,             0.94457,             0.96585,             0.50892,            0.036737,             0.02461,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.038735,            0.026915,                   0,             0.98377,             0.97975,             0.98811,             0.55234,            0.034013,            0.022178,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.037888,            0.025335,                   0,             0.96724,             0.95727,             0.96377,             0.53153,            0.030887,             0.02131,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036882,            0.025539,                   0,             0.96725,             0.96074,             0.98215,             0.53564,            0.033036,            0.023846,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.034219,            0.024373,                   0,             0.97478,             0.98152,             0.99117,             0.52505,            0.033104,            0.021352,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035099,            0.024405,                   0,             0.98815,             0.97921,             0.99161,             0.56559,            0.031329,            0.020788,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034435,            0.024409,                   0,             0.95424,             0.95497,             0.98511,             0.59959,            0.026645,            0.024762,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.03382,            0.024743,                   0,             0.94497,              0.9261,             0.95742,             0.50736,            0.035002,             0.02592,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033207,            0.024132,                   0,             0.98293,             0.98152,             0.99388,             0.65779,             0.02485,            0.019283,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.03242,            0.022598,                   0,             0.99124,             0.99076,             0.99297,             0.66456,            0.025316,            0.018759,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.032102,            0.023469,                   0,             0.97464,             0.93211,             0.97928,             0.57522,            0.031455,            0.024081,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.030614,            0.021849,                   0,             0.98887,             0.98845,             0.99322,              0.6496,            0.024479,            0.018633,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030256,             0.02269,                   0,             0.98954,              0.9832,             0.99366,             0.67572,            0.023171,            0.018468,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.030473,            0.021326,                   0,             0.95187,             0.98211,             0.99077,             0.69472,            0.022713,            0.022379,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.029673,            0.021847,                   0,             0.99024,             0.97113,             0.99283,             0.64497,            0.026525,            0.020732,                   0,            0.007822,            0.007822,            0.007822
