               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09766,            0.043695,                   0,             0.22304,             0.35912,             0.20638,            0.051876,            0.074359,            0.047446,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.071154,            0.036232,                   0,              0.5361,             0.51777,             0.50756,             0.17935,            0.071273,            0.026379,                   0,            0.040411,           0.0065483,           0.0065483
                   2,            0.067188,             0.02938,                   0,             0.58623,             0.73621,             0.64215,             0.23276,            0.059624,            0.024429,                   0,            0.010279,           0.0097501,           0.0097501
                   3,             0.05924,             0.02705,                   0,             0.68163,             0.77382,             0.68874,             0.24522,            0.049541,            0.023738,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.052335,             0.02471,                   0,             0.85688,             0.84988,             0.87321,             0.41307,            0.049775,            0.025911,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.048443,            0.022943,                   0,             0.90498,             0.91287,             0.93897,             0.44159,            0.043925,            0.019416,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.045846,            0.021233,                   0,             0.94963,             0.92148,             0.96224,             0.50098,            0.040102,            0.018536,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.043723,            0.021646,                   0,             0.97405,             0.95373,             0.96583,             0.51153,            0.037446,            0.017018,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.042157,            0.020993,                   0,             0.86723,             0.92956,             0.94088,             0.49995,            0.038144,            0.024742,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039917,            0.019613,                   0,             0.96992,             0.93995,             0.97742,             0.56169,            0.034904,            0.017393,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039555,            0.019383,                   0,             0.97837,             0.97113,               0.987,             0.56077,            0.035865,            0.016753,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.038623,            0.018549,                   0,             0.97082,             0.96043,             0.97195,             0.54597,            0.032603,            0.015807,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.037949,            0.018639,                   0,             0.98507,             0.98268,             0.99231,             0.58733,            0.030675,            0.015544,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.035318,               0.018,                   0,             0.98586,             0.96598,             0.98977,             0.57704,            0.031893,             0.01565,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035466,            0.017797,                   0,             0.97846,             0.98037,             0.99155,             0.59638,             0.03003,            0.015314,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.035365,            0.017886,                   0,             0.93617,             0.94688,             0.96664,             0.54752,            0.032926,            0.017704,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.033915,            0.017667,                   0,             0.98543,             0.98499,             0.99392,             0.60053,            0.029135,            0.014743,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033375,            0.017477,                   0,              0.9662,             0.95733,             0.98806,              0.5878,            0.029411,            0.016374,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.033624,            0.016411,                   0,             0.98432,              0.9746,             0.98685,             0.60331,            0.028796,            0.014643,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.03316,            0.016848,                   0,             0.99009,              0.9746,             0.99272,             0.62446,            0.028739,            0.015145,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.031182,            0.015936,                   0,             0.97808,             0.97893,             0.99284,             0.65287,            0.026432,            0.014858,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.030362,             0.01586,                   0,             0.98683,             0.97921,             0.99419,              0.6428,            0.027979,            0.014018,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.031206,            0.015348,                   0,             0.98726,             0.98462,             0.99444,             0.65995,             0.02577,            0.013491,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.030477,             0.01577,                   0,             0.93794,             0.97726,             0.98459,             0.65874,            0.025213,            0.016748,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.029342,            0.016014,                   0,             0.96168,             0.96998,             0.98705,             0.66274,            0.024661,            0.014919,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.028532,            0.014923,                   0,             0.95513,             0.98614,             0.99062,             0.68086,            0.024485,            0.014365,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.028858,            0.015342,                   0,             0.98674,             0.98845,             0.99457,             0.69711,            0.024082,            0.012722,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.027349,            0.015439,                   0,             0.99073,             0.98742,             0.99467,             0.67902,            0.024582,            0.012644,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.027781,            0.015247,                   0,             0.99249,             0.98614,             0.99436,             0.69794,            0.025083,            0.012842,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.027189,            0.014902,                   0,              0.9943,             0.98152,             0.99441,             0.67751,            0.023699,            0.012383,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.026485,            0.014123,                   0,             0.99415,             0.98072,             0.99453,             0.70532,            0.022557,            0.012238,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026391,            0.014187,                   0,             0.99593,             0.98961,             0.99493,             0.71333,            0.021576,            0.011882,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.025616,            0.013769,                   0,             0.99622,             0.97806,             0.99467,             0.72509,            0.021011,            0.012184,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.026322,            0.014259,                   0,             0.99401,             0.99076,             0.99443,             0.71907,              0.0222,             0.01239,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.024676,            0.013089,                   0,             0.99768,             0.99305,             0.99498,             0.73865,            0.021169,            0.011986,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.025372,            0.014119,                   0,             0.99479,             0.99076,             0.99494,             0.74036,             0.02212,            0.012182,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.024579,            0.013748,                   0,             0.98432,              0.9873,             0.99435,             0.73835,            0.019709,            0.012045,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.024278,            0.013432,                   0,             0.99652,             0.99125,             0.99497,             0.75689,            0.018979,            0.011092,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.024131,            0.013545,                   0,             0.99304,             0.98847,             0.99485,             0.74546,            0.019204,            0.011523,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.023368,            0.013083,                   0,             0.99151,             0.99307,              0.9948,             0.74776,            0.019527,             0.01125,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02321,            0.013227,                   0,             0.99718,              0.9873,              0.9948,              0.7541,            0.019659,            0.011077,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.022467,            0.012845,                   0,             0.99367,             0.99192,             0.99487,             0.77064,            0.018379,             0.01086,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.022367,            0.012903,                   0,             0.98738,             0.99076,             0.99385,             0.75032,            0.019768,             0.01192,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.022185,            0.012707,                   0,             0.98728,             0.99538,             0.99491,             0.77942,            0.017694,            0.010646,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.022045,            0.012368,                   0,             0.99209,             0.98845,             0.99486,             0.77842,            0.018131,            0.011008,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.021219,            0.012358,                   0,             0.99768,             0.99165,             0.99497,             0.77716,            0.018267,            0.010664,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.020927,            0.012037,                   0,             0.99892,             0.97344,              0.9944,              0.7731,            0.018917,            0.011221,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021148,            0.012227,                   0,              0.9965,             0.98603,             0.99477,             0.77254,            0.017935,              0.0109,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020691,            0.012012,                   0,             0.99652,             0.99192,             0.99499,             0.78777,            0.017875,            0.010513,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020518,             0.01188,                   0,              0.9956,             0.99307,             0.99498,             0.79198,            0.017112,            0.010241,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020414,            0.011779,                   0,             0.99535,             0.98967,             0.99495,             0.78424,            0.016976,            0.010263,                   0,            0.005149,            0.005149,            0.005149
