               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083435,            0.070239,                   0,             0.47169,             0.52771,             0.47757,             0.15014,            0.059882,            0.041985,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.069051,            0.042746,                   0,              0.3845,             0.73867,             0.45466,             0.17004,            0.070629,            0.030442,                   0,            0.040411,           0.0065483,           0.0065483
                   2,            0.064191,            0.035527,                   0,             0.28577,             0.88523,             0.29445,            0.095034,            0.072133,            0.027453,                   0,            0.010279,           0.0097501,           0.0097501
                   3,            0.056398,            0.030888,                   0,             0.82799,             0.92825,             0.92366,             0.47157,            0.040301,             0.03902,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048378,            0.027677,                   0,             0.96631,             0.96882,             0.97792,             0.49274,             0.03814,            0.022613,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.045228,            0.024841,                   0,             0.97383,             0.98834,             0.98596,             0.53128,            0.034152,            0.021035,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.041059,            0.022845,                   0,             0.97211,             0.97229,             0.96749,             0.49262,            0.033234,            0.020449,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.038513,            0.023581,                   0,             0.97861,             0.98614,             0.99168,             0.59813,            0.032332,            0.019919,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.036572,            0.023262,                   0,             0.98064,             0.99413,             0.99059,             0.56266,            0.031972,            0.020149,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.034883,            0.021793,                   0,             0.98943,             0.99192,             0.99153,              0.6191,            0.027969,            0.018361,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033423,            0.021193,                   0,             0.99519,             0.99654,             0.99153,             0.67719,             0.02583,            0.017128,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.032102,            0.020296,                   0,             0.99714,             0.99769,             0.99424,             0.67458,            0.027907,            0.017402,                   0,             0.00901,             0.00901,             0.00901
                  12,             0.03155,            0.020483,                   0,              0.9974,             0.99538,              0.9949,             0.68008,            0.024961,            0.016754,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.029705,            0.019185,                   0,             0.99654,             0.99687,             0.99493,             0.66684,             0.02542,            0.016356,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.029269,            0.019231,                   0,             0.99647,             0.99769,             0.99498,             0.65683,            0.024151,            0.016446,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.027829,            0.019243,                   0,             0.96056,             0.99423,             0.98839,             0.65563,            0.028404,            0.019221,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.027894,            0.019504,                   0,             0.99992,             0.99769,               0.995,             0.72334,             0.02161,            0.015862,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.026342,             0.01878,                   0,             0.99655,             0.99971,               0.995,             0.76824,            0.019433,             0.01484,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.026431,            0.017528,                   0,             0.99885,             0.99881,             0.99499,             0.76181,            0.020269,            0.014904,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.025819,            0.018039,                   0,             0.99539,             0.99747,             0.99416,             0.75714,            0.021787,            0.015674,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.024776,            0.017101,                   0,             0.99936,             0.99769,               0.995,             0.75749,             0.01933,             0.01437,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.024303,            0.017567,                   0,             0.99885,             0.99926,               0.995,             0.79071,            0.017353,            0.013537,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.02387,            0.016555,                   0,              0.9999,             0.99885,               0.995,             0.80799,            0.017251,            0.013418,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.02327,            0.016771,                   0,             0.99769,             0.99793,               0.995,             0.81184,            0.016703,            0.013423,                   0,            0.007822,            0.007822,            0.007822
                  24,             0.02245,            0.017086,                   0,             0.99885,              0.9992,               0.995,             0.81429,             0.01545,            0.013426,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.022585,            0.016209,                   0,             0.99878,                   1,               0.995,                0.82,            0.014743,            0.012817,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.022287,            0.016668,                   0,              0.9977,             0.99985,               0.995,             0.80616,            0.016504,            0.013508,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.021788,            0.016622,                   0,             0.99968,             0.99885,               0.995,             0.80662,            0.019193,            0.013916,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.021148,            0.016052,                   0,             0.99962,             0.99885,               0.995,             0.83146,            0.015433,            0.012563,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.020001,            0.015694,                   0,             0.99873,                   1,             0.99499,             0.81639,            0.017523,            0.013169,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.020519,            0.015183,                   0,             0.99869,             0.99885,             0.99497,             0.82979,            0.015567,            0.012436,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.019896,            0.014778,                   0,             0.99997,                   1,               0.995,             0.83792,            0.014351,            0.012206,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.019597,            0.014664,                   0,             0.99984,             0.99885,               0.995,             0.84992,             0.01436,            0.012574,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.019055,             0.01524,                   0,              0.9999,             0.99769,               0.995,             0.87133,            0.012717,            0.011897,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.019104,             0.01417,                   0,             0.99983,             0.99769,               0.995,             0.85535,             0.01363,            0.011974,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.018748,             0.01464,                   0,             0.99884,             0.99808,               0.995,             0.86068,            0.012588,            0.011934,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.018313,            0.014443,                   0,             0.99982,             0.99885,               0.995,             0.86952,            0.012647,            0.011439,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.017367,            0.013983,                   0,              0.9999,                   1,               0.995,             0.87649,            0.011481,            0.010782,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.018048,            0.014304,                   0,             0.99986,             0.99885,               0.995,             0.86819,            0.012173,            0.011376,                   0,            0.006337,            0.006337,            0.006337
                  39,             0.01764,             0.01377,                   0,             0.99958,                   1,               0.995,             0.87079,            0.013062,            0.011018,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.01707,            0.013949,                   0,             0.99983,             0.99885,               0.995,             0.86774,            0.012152,            0.011146,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.01676,            0.013665,                   0,             0.99984,                   1,               0.995,             0.88024,            0.011441,            0.010421,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.016943,             0.01377,                   0,                   1,             0.99994,               0.995,             0.87571,            0.012417,            0.010753,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.016632,            0.013477,                   0,                   1,             0.99983,               0.995,             0.88307,            0.011324,            0.010561,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.016417,            0.013265,                   0,             0.99994,                   1,               0.995,               0.881,            0.011243,            0.010503,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.015717,            0.013012,                   0,             0.99725,                   1,               0.995,             0.86883,            0.012101,            0.010643,                   0,            0.005644,            0.005644,            0.005644
                  46,             0.01578,             0.01288,                   0,             0.99759,                   1,               0.995,             0.88545,            0.010759,            0.010273,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.015658,            0.012868,                   0,             0.99864,                   1,               0.995,             0.89676,            0.010607,            0.010067,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.015503,            0.012707,                   0,             0.99867,             0.99769,               0.995,             0.88917,            0.011015,            0.010123,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.015015,            0.012551,                   0,             0.99867,             0.99885,               0.995,             0.89126,            0.009937,           0.0096284,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.015127,            0.012563,                   0,             0.99864,             0.99885,               0.995,             0.88923,           0.0098349,           0.0095686,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.014842,            0.012587,                   0,              0.9996,             0.99885,               0.995,             0.90185,           0.0098564,           0.0094895,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.014443,            0.012383,                   0,                   1,              0.9998,               0.995,             0.90481,           0.0099198,           0.0093284,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.014274,            0.012273,                   0,                   1,             0.99972,               0.995,             0.90968,             0.00962,           0.0094783,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.013953,            0.012153,                   0,             0.99858,                   1,               0.995,             0.90174,            0.010237,           0.0093994,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.013805,            0.011501,                   0,             0.99983,                   1,               0.995,             0.91139,           0.0096172,           0.0092672,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.013677,            0.011869,                   0,                   1,             0.99999,               0.995,             0.90518,           0.0098938,            0.009375,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.013046,            0.011792,                   0,             0.99995,                   1,               0.995,             0.91092,           0.0093826,           0.0089705,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.01352,            0.011615,                   0,             0.99977,                   1,               0.995,               0.909,             0.00916,            0.009022,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.013054,             0.01152,                   0,             0.99988,             0.99885,               0.995,             0.91003,           0.0095787,           0.0094241,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.013168,            0.011771,                   0,             0.99993,                   1,               0.995,             0.92121,           0.0085203,            0.008528,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.012301,            0.011222,                   0,             0.99983,             0.99885,               0.995,             0.91942,           0.0085652,           0.0086201,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.012629,            0.011398,                   0,             0.99977,             0.99885,               0.995,             0.92212,           0.0087875,           0.0085838,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.012392,            0.010875,                   0,              0.9998,             0.99885,               0.995,             0.92593,           0.0082815,            0.008579,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.012042,            0.011118,                   0,             0.99997,                   1,               0.995,             0.93027,           0.0080813,             0.00841,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.011702,            0.011057,                   0,             0.99925,             0.99885,               0.995,              0.9282,           0.0082647,           0.0085098,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.011655,            0.010556,                   0,             0.99885,              0.9998,               0.995,             0.93084,           0.0084239,           0.0084703,                   0,            0.003565,            0.003565,            0.003565
